Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Telford and Wrekin,"11,344","6,185","3,822","10,594","2,256","4,675","4,565","10,863","10,888","10,334","11,145","12,850","12,653","10,502","9,866","10,010","7,934","5,994","4,439","3,042","2,680"
Cannock Chase,"5,871","3,319","2,086","5,861","1,298","2,573","2,373","5,893","6,129","5,738","6,700","7,931","7,754","6,387","5,783","6,109","5,044","3,860","2,821","2,145","1,787"
East Staffordshire,"7,002","3,927","2,629","6,694","1,510","3,062","2,612","6,722","7,199","6,846","7,349","8,657","8,838","7,780","6,630","6,995","5,740","4,629","3,713","2,729","2,320"
Lichfield,"5,285","3,229","2,152","5,753","1,178","2,507","2,203","5,232","5,013","5,291","6,340","7,619","7,832","6,782","6,459","7,525","6,893","5,061","3,570","2,460","2,270"
Newcastle-under-Lyme,"6,314","3,979","2,389","6,971","1,405","2,914","4,216","9,545","6,937","6,708","7,642","8,919","9,166","8,209","7,615","8,434","6,620","5,410","4,431","3,202","2,845"
South Staffordshire,"4,878","3,141","2,069","6,236","1,301","2,831","2,523","6,035","4,972","4,785","6,363","8,149","8,789","8,069","7,316","8,169","7,051","5,666","4,251","2,907","2,630"
Stafford,"7,007","4,126","2,457","7,200","1,453","3,203","3,197","8,009","7,102","7,124","8,225","10,030","10,127","8,900","8,268","9,167","7,825","6,120","4,595","3,443","3,291"
Staffordshire Moorlands,"4,671","2,860","1,940","5,377","1,152","2,398","2,082","4,760","4,467","4,596","5,864","7,611","7,606","6,824","6,678","7,839","6,381","4,979","3,866","2,685","2,470"
Tamworth,"5,061","2,820","1,722","4,789",954,"2,022","1,816","4,744","5,181","4,845","5,408","5,911","5,511","5,048","4,850","4,987","3,733","2,777","2,032","1,428","1,174"
North Warwickshire,"3,285","1,920","1,289","3,730",741,"1,559","1,358","3,219","3,281","3,164","4,044","4,864","5,006","4,496","4,177","4,496","3,718","2,788","2,064","1,490","1,325"
Nuneaton and Bedworth,"7,925","4,279","2,740","7,412","1,652","3,302","2,937","7,453","7,971","7,777","8,294","9,336","9,459","8,179","7,586","8,028","6,707","5,061","3,918","2,843","2,393"
Rugby,"6,269","3,483","2,165","6,149","1,320","2,718","2,136","5,182","6,322","6,319","6,932","7,636","7,812","6,602","5,634","6,062","5,401","4,003","3,064","2,492","2,374"
Stratford-on-Avon,"5,965","3,718","2,458","6,849","1,453","2,936","2,348","5,257","5,382","5,558","7,242","8,897","9,596","8,718","8,187","9,341","8,117","6,149","4,931","3,761","3,622"
Warwick,"7,920","4,351","2,777","7,127","1,422","2,999","3,604","11,623","9,321","9,220","9,552","10,083","10,131","8,571","7,707","8,190","6,711","5,171","4,280","3,445","3,443"
Birmingham,"81,901","45,952","28,408","73,659","14,762","29,453","36,063","93,914","85,601","79,169","71,405","72,084","68,109","57,698","50,219","46,435","37,543","32,559","27,902","21,141","19,068"
Coventry,"22,476","11,359","7,043","17,831","4,145","7,571","12,526","30,610","24,848","21,542","20,655","21,377","20,186","17,807","15,378","15,356","13,208","10,807","8,750","6,793","6,692"
Dudley,"18,867","10,971","6,963","18,539","4,164","8,226","7,473","18,141","18,947","18,024","19,798","23,848","23,248","19,583","18,389","19,547","17,255","14,247","11,379","8,418","6,898"
Sandwell,"22,669","12,529","7,665","19,333","4,038","8,142","8,040","20,793","23,085","21,235","21,168","22,411","21,398","17,991","15,495","15,230","13,139","11,381","9,186","6,950","6,185"
Solihull,"11,555","7,099","4,612","13,111","2,804","5,836","4,766","11,365","10,664","10,683","12,380","15,355","16,534","14,258","12,226","13,830","11,530","8,933","7,529","6,103","5,501"
Walsall,"18,373","10,401","6,570","17,266","3,590","7,237","6,840","17,504","17,690","16,184","16,906","19,503","19,087","16,464","14,672","15,221","13,227","11,439","9,194","6,558","5,397"
Wolverhampton,"16,687","8,971","5,471","15,095","3,199","6,705","6,824","17,988","17,947","16,436","16,744","18,219","17,370","14,949","13,255","12,981","10,853","9,712","8,146","6,322","5,596"
Bromsgrove,"4,822","3,008","1,912","5,529","1,259","2,489","2,004","4,677","4,250","4,451","5,919","7,273","7,548","6,678","6,226","6,457","5,503","4,332","3,673","2,862","2,765"
Malvern Hills,"3,297","2,158","1,485","4,448","1,024","2,191","1,603","3,146","2,919","2,939","3,849","5,157","5,705","5,428","5,144","6,157","5,095","4,179","3,369","2,627","2,711"
Redditch,"5,629","3,064","1,822","4,996","1,047","2,154","1,875","5,175","5,995","6,022","5,904","6,042","5,901","5,470","5,618","5,616","4,052","2,699","2,046","1,603","1,484"
Worcester,"6,359","3,426","2,146","5,445","1,101","2,332","3,142","7,417","7,080","6,939","7,028","7,463","7,248","6,029","5,444","5,560","4,248","3,452","2,901","2,016","1,992"
Wychavon,"5,743","3,668","2,353","6,679","1,462","2,856","2,401","5,361","5,368","5,455","6,872","8,866","9,340","8,323","8,088","9,094","7,491","5,966","4,603","3,529","3,426"
Wyre Forest,"5,256","2,988","1,983","5,416","1,142","2,265","2,127","5,142","5,271","5,071","6,061","7,351","7,129","6,161","6,345","7,804","6,692","4,912","3,718","2,634","2,507"
Bedford,"10,099","5,742","3,634","9,955","2,178","4,267","4,005","9,640","10,134","10,394","10,601","11,843","11,693","10,206","8,917","9,303","7,045","5,716","4,900","3,780","3,427"
Central Bedfordshire,"16,009","9,162","5,805","15,480","3,323","6,571","5,441","13,598","14,484","15,621","17,853","20,123","21,076","18,150","15,504","16,292","12,435","9,510","7,825","5,407","4,712"
Luton,"16,592","8,809","5,412","13,211","2,732","5,425","5,404","16,621","18,812","16,064","14,066","13,796","13,538","11,225","9,267","8,346","6,542","6,102","5,032","3,408","2,797"
